material,weight_kg,transport_mode,transport_distance_km,manufacturing_intensity,material_co2,manufacturing_co2,transport_co2,total_co2_kg,material_encoded,transport_encoded,intensity_encoded
Cheese,3.884,SEA,6719.9,HIGH,52.438,13.595,0.392,67.909,6,3,0
Butter,2.231,ROAD,1009.6,HIGH,26.771,7.027,0.27,35.018,5,2,0
Shrimp,0.322,SEA,6375.8,HIGH,5.805,1.467,0.031,6.878,27,3,0
Nuts,0.568,ROAD,2297.5,LOW,1.307,0.199,0.157,1.474,19,2,1
Eggs,0.274,ROAD,950.2,MEDIUM,1.315,0.37,0.031,1.545,10,2,2
Corn,5.785,ROAD,1864.6,HIGH,6.364,14.174,1.295,23.894,8,2,0
Pork,0.629,RAIL,2606.8,MEDIUM,7.609,1.038,0.041,7.9,24,1,2
Lentils,0.314,ROAD,1985.7,LOW,0.283,0.094,0.075,0.415,16,2,1
Butter,1.103,ROAD,2614.4,MEDIUM,13.238,1.489,0.346,14.831,5,2,2
Eggs,0.914,ROAD,437.6,HIGH,4.389,2.88,0.048,7.427,10,2,0
Chicken,0.074,RAIL,1088.1,LOW,0.513,0.037,0.002,0.599,7,1,1
Fish_Farmed,1.586,ROAD,964.6,MEDIUM,8.09,2.141,0.184,9.998,11,2,2
Shrimp,3.086,RAIL,2398.7,MEDIUM,55.553,6.018,0.185,60.669,27,1,2
Beef,3.208,SEA,19081.6,MEDIUM,86.618,5.775,0.918,88.334,4,3,2
Butter,6.653,SEA,8628.3,LOW,79.833,2.994,0.861,83.574,5,3,1
Nuts,1.597,SEA,9293.0,LOW,3.674,0.559,0.223,4.45,19,3,1
Glass,1.335,SEA,8357.1,LOW,1.202,0.801,0.167,2.255,13,3,1
Cheese,1.754,ROAD,289.5,HIGH,23.673,6.137,0.061,28.651,6,2,0
Plastic,0.277,ROAD,2508.9,LOW,0.968,0.221,0.083,1.408,22,2,1
Pork,0.299,ROAD,2973.6,HIGH,3.62,1.152,0.107,4.797,24,2,0
Oats,1.933,ROAD,1524.0,HIGH,3.092,4.735,0.353,7.958,20,2,0
Wood,3.836,ROAD,1386.7,HIGH,1.918,10.742,0.638,13.054,33,2,0
Cotton,1.266,ROAD,856.3,MEDIUM,6.965,2.469,0.13,9.644,9,2,2
Apples,0.6,ROAD,1183.7,MEDIUM,0.24,0.45,0.085,0.814,1,2,2
Tofu,0.246,RAIL,3335.9,MEDIUM,0.493,0.296,0.021,0.834,29,1,2
Lamb,0.949,ROAD,96.1,MEDIUM,22.77,1.708,0.011,23.599,14,2,2
Shrimp,7.218,ROAD,2296.4,HIGH,129.924,32.842,1.989,153.731,27,2,0
Tofu,0.835,SEA,11460.0,LOW,1.67,0.334,0.144,2.25,29,3,1
Paper,1.556,SEA,15722.7,MEDIUM,2.023,2.334,0.367,4.554,21,3,2
Nuts,1.915,ROAD,2718.5,MEDIUM,4.405,2.011,0.625,7.131,19,2,2
Shrimp,3.663,SEA,15591.9,MEDIUM,65.935,7.143,0.857,75.198,27,3,2
Chicken,0.63,SEA,8713.2,MEDIUM,4.347,0.945,0.082,4.894,7,3,2
Beans,6.343,SEA,9572.2,LOW,6.343,1.903,0.911,9.459,3,3,1
Wood,0.491,ROAD,1102.7,MEDIUM,0.245,0.589,0.065,0.873,33,2,2
Nuts,0.742,ROAD,1396.5,LOW,1.706,0.26,0.124,2.162,19,2,1
Tofu,1.063,SEA,13431.2,LOW,2.127,0.425,0.214,2.71,29,3,1
Rice,3.55,ROAD,1853.4,MEDIUM,14.201,4.26,0.79,19.372,26,2,2
Lentils,15.866,ROAD,2176.1,MEDIUM,14.279,14.279,4.143,30.965,16,2,2
Tomatoes,1.493,ROAD,1201.9,HIGH,3.136,3.136,0.215,6.711,30,2,0
Tofu,11.128,ROAD,2451.5,MEDIUM,22.256,13.354,3.274,38.013,29,2,2
Polyester,39.038,SEA,11942.0,MEDIUM,242.036,87.836,6.993,361.216,23,3,2
Oats,2.787,ROAD,163.1,MEDIUM,4.46,2.927,0.055,8.097,20,2,2
Pork,18.665,SEA,9827.0,MEDIUM,225.848,30.797,2.751,266.226,24,3,2
Wool,0.408,ROAD,1009.6,LOW,4.246,0.286,0.049,4.747,34,2,1
Lettuce,0.382,ROAD,731.9,MEDIUM,0.344,0.287,0.034,0.704,17,2,2
Wheat,1.642,SEA,12611.8,LOW,2.298,0.575,0.311,3.211,32,3,1
Lentils,3.288,ROAD,1760.5,MEDIUM,2.959,2.959,0.695,6.88,16,2,2
Steel,1.263,SEA,12401.9,MEDIUM,3.538,3.411,0.235,7.01,28,3,2
Lentils,1.685,ROAD,2334.4,LOW,1.516,0.505,0.472,2.313,16,2,1
Cotton,5.389,ROAD,932.8,MEDIUM,29.637,10.508,0.603,40.191,9,2,2
Leather,3.095,SEA,6425.0,MEDIUM,52.618,9.285,0.298,61.67,15,3,2
Bananas,0.372,SEA,9100.0,LOW,0.26,0.093,0.051,0.412,2,3,1
Bananas,1.612,ROAD,230.7,MEDIUM,1.129,1.209,0.045,2.643,2,2,2
Pork,0.437,ROAD,1555.7,MEDIUM,5.292,0.722,0.082,6.408,24,2,2
Steel,0.666,AIR,8138.4,HIGH,1.866,4.198,5.151,12.278,28,0,0
Glass,0.383,RAIL,932.8,LOW,0.345,0.23,0.009,0.564,13,1,1
Wood,2.459,ROAD,2238.6,MEDIUM,1.229,2.95,0.66,4.833,33,2,2
Eggs,1.013,ROAD,2650.0,HIGH,4.863,3.192,0.322,8.586,10,2,0
Wool,1.604,AIR,9538.8,HIGH,16.677,7.857,14.531,42.437,34,0,0
Steel,5.101,ROAD,2628.2,MEDIUM,14.282,13.772,1.609,27.9,28,2,2
Eggs,2.748,SEA,11519.5,HIGH,13.188,8.655,0.475,22.984,10,3,0
Pork,3.399,ROAD,391.0,HIGH,41.13,13.087,0.159,54.523,24,2,0
Fish_Farmed,0.213,SEA,10682.1,LOW,1.085,0.096,0.034,1.163,11,3,1
Aluminum,14.234,ROAD,1612.1,MEDIUM,116.719,53.377,2.754,186.233,0,2,2
Leather,0.634,ROAD,2723.2,HIGH,10.784,4.44,0.207,14.876,15,2,0
Turkey,1.783,AIR,13634.1,HIGH,19.436,6.241,23.096,45.119,31,0,0
Oats,0.735,ROAD,165.7,MEDIUM,1.176,0.772,0.015,2.063,20,2,2
Wool,13.672,ROAD,313.3,LOW,142.189,9.57,0.514,154.027,34,2,1
Potatoes,2.206,SEA,16934.0,MEDIUM,1.103,1.654,0.56,3.679,25,3,2
Fish_Wild,0.998,SEA,6028.2,LOW,2.893,0.399,0.09,3.622,12,3,1
Beans,0.828,SEA,16568.0,MEDIUM,0.828,0.745,0.206,1.651,3,3,2
Steel,23.924,ROAD,2857.9,HIGH,66.987,150.721,8.205,227.255,28,2,0
Tofu,12.242,ROAD,2045.0,LOW,24.483,4.897,3.004,31.215,29,2,1
Polyester,2.682,ROAD,370.9,LOW,16.626,2.011,0.119,18.859,23,2,1
Aluminum,0.7,ROAD,2799.2,HIGH,5.74,6.125,0.235,12.741,0,2,0
Paper,0.714,SEA,6965.4,MEDIUM,0.928,1.071,0.075,2.043,21,3,2
Nuts,4.172,RAIL,3491.6,LOW,9.597,1.46,0.364,10.657,19,1,1
Milk,3.549,RAIL,1357.8,HIGH,6.743,8.695,0.12,14.804,18,1,0
Glass,6.035,ROAD,332.8,HIGH,5.431,25.346,0.241,33.383,13,2,0
Cheese,1.815,ROAD,2748.3,HIGH,24.501,6.352,0.599,33.656,6,2,0
Wool,5.338,ROAD,532.4,HIGH,55.515,26.156,0.341,79.374,34,2,0
Pork,1.398,ROAD,144.7,MEDIUM,16.915,2.307,0.024,20.164,24,2,2
Wheat,0.994,ROAD,2977.0,LOW,1.392,0.348,0.355,1.905,32,2,1
Paper,4.509,SEA,10759.3,LOW,5.862,2.255,0.728,9.161,21,3,1
Chicken,2.225,AIR,4477.7,LOW,15.351,1.112,9.464,25.369,7,0,1
Paper,6.483,RAIL,1445.5,MEDIUM,8.428,9.724,0.234,18.801,21,1,2
Cheese,0.238,ROAD,1972.4,MEDIUM,3.216,0.357,0.056,3.852,6,2,2
Lentils,1.209,SEA,7793.3,LOW,1.088,0.363,0.141,1.554,16,3,1
Lamb,1.894,ROAD,1747.6,HIGH,45.458,7.955,0.397,51.212,14,2,0
Rice,6.56,ROAD,1920.5,LOW,26.238,2.624,1.512,30.734,26,2,1
Apples,0.703,ROAD,2188.1,MEDIUM,0.281,0.527,0.185,1.006,1,2,2
Beans,1.611,SEA,12280.8,LOW,1.611,0.483,0.297,2.475,3,3,1
Glass,0.499,RAIL,3261.9,MEDIUM,0.449,0.897,0.041,1.442,13,1,2
Potatoes,3.336,RAIL,2923.6,LOW,1.668,0.834,0.244,2.754,25,1,1
Wheat,3.011,ROAD,1424.0,MEDIUM,4.216,3.162,0.515,8.461,32,2,2
Eggs,0.209,ROAD,1260.3,LOW,1.003,0.094,0.032,1.074,10,2,1
Aluminum,2.429,RAIL,2253.0,HIGH,19.919,21.255,0.137,41.454,0,1,0
Pork,0.46,ROAD,549.3,MEDIUM,5.565,0.759,0.03,5.982,24,2,2
Nuts,0.905,ROAD,2608.3,LOW,2.081,0.317,0.283,2.53,19,2,1
Bananas,9.251,SEA,15637.6,LOW,6.476,2.313,2.17,9.954,2,3,1
Lentils,0.214,ROAD,939.5,LOW,0.192,0.064,0.024,0.268,16,2,1
Apples,2.527,SEA,10041.9,MEDIUM,1.011,1.896,0.381,3.445,1,3,2
Paper,1.221,RAIL,1399.2,HIGH,1.588,4.275,0.043,6.024,21,1,0
Beans,2.044,ROAD,2372.8,LOW,2.044,0.613,0.582,3.227,3,2,1
Glass,0.855,ROAD,296.7,LOW,0.769,0.513,0.03,1.355,13,2,1
Aluminum,2.401,SEA,10976.6,HIGH,19.69,21.011,0.395,40.747,0,3,0
Wood,5.374,ROAD,2469.4,MEDIUM,2.687,6.449,1.593,11.149,33,2,2
Turkey,13.42,AIR,6484.4,LOW,146.281,6.71,82.671,222.928,31,0,1
Steel,3.609,SEA,8220.7,HIGH,10.105,22.737,0.445,34.088,28,3,0
Lettuce,1.253,ROAD,1287.3,MEDIUM,1.128,0.94,0.194,2.226,17,2,2
Bananas,0.971,SEA,18899.3,LOW,0.68,0.243,0.275,1.213,2,3,1
Pork,0.26,SEA,13360.0,HIGH,3.146,1.001,0.052,4.223,24,3,0
Polyester,1.064,ROAD,74.5,LOW,6.599,0.798,0.01,7.57,23,2,1
Rice,1.048,SEA,10697.8,MEDIUM,4.192,1.258,0.168,5.439,26,3,2
Turkey,0.684,SEA,11154.7,LOW,7.453,0.342,0.114,7.557,31,3,1
Oats,0.384,SEA,16806.4,HIGH,0.615,0.941,0.097,1.533,20,3,0
Eggs,3.58,ROAD,1642.5,MEDIUM,17.184,4.833,0.706,21.655,10,2,2
Steel,0.08,RAIL,3770.6,MEDIUM,0.225,0.217,0.008,0.457,28,1,2
Nuts,0.626,SEA,18583.2,HIGH,1.44,1.534,0.175,3.215,19,3,0
Fish_Farmed,21.389,SEA,11045.1,MEDIUM,109.083,28.875,3.544,136.778,11,3,2
Shrimp,5.971,SEA,19738.2,MEDIUM,107.473,11.643,1.768,121.453,27,3,2
Milk,0.496,SEA,16473.3,HIGH,0.942,1.215,0.123,2.462,18,3,0
Aluminum,1.732,ROAD,2294.1,HIGH,14.202,15.154,0.477,32.493,0,2,0
Beef,0.564,SEA,14490.3,MEDIUM,15.236,1.016,0.123,16.292,4,3,2
Polyester,6.722,ROAD,2206.6,LOW,41.675,5.041,1.78,47.751,23,2,1
Corn,0.756,SEA,6402.7,MEDIUM,0.831,0.793,0.073,1.755,8,3,2
Rice,0.165,ROAD,800.4,MEDIUM,0.66,0.198,0.016,0.779,26,2,2
Tofu,1.073,RAIL,661.1,LOW,2.146,0.429,0.018,2.564,29,1,1
Tofu,0.581,SEA,17972.5,MEDIUM,1.161,0.697,0.157,1.982,29,3,2
Eggs,1.792,ROAD,2146.4,HIGH,8.601,5.645,0.462,14.12,10,2,0
Wheat,0.444,SEA,5179.7,LOW,0.621,0.155,0.034,0.791,32,3,1
Lentils,0.655,AIR,10490.8,MEDIUM,0.589,0.589,6.527,7.18,16,0,2
Lamb,1.748,SEA,17611.2,MEDIUM,41.95,3.146,0.462,46.614,14,3,2
Beef,3.63,AIR,8244.8,MEDIUM,98.003,6.534,28.43,126.69,4,0,2
Polyester,0.295,ROAD,2928.1,MEDIUM,1.826,0.663,0.104,2.643,23,2,2
Tofu,1.519,ROAD,1112.3,LOW,3.037,0.607,0.203,3.814,29,2,1
Cheese,0.05,SEA,7656.5,HIGH,0.675,0.175,0.006,0.911,6,3,0
Polyester,4.389,SEA,14400.7,MEDIUM,27.21,9.874,0.948,38.513,23,3,2
Glass,4.503,ROAD,973.0,HIGH,4.052,18.911,0.526,24.339,13,2,0
Plastic,13.205,ROAD,1018.3,LOW,46.217,10.564,1.614,56.849,22,2,1
Aluminum,1.642,ROAD,2017.1,HIGH,13.468,14.371,0.398,28.799,0,2,0
Shrimp,0.666,ROAD,2758.4,MEDIUM,11.988,1.299,0.22,13.302,27,2,2
Wood,7.956,ROAD,289.5,MEDIUM,3.978,9.547,0.276,13.218,33,2,2
Wool,2.237,ROAD,620.6,HIGH,23.267,10.962,0.167,32.433,34,2,0
Beef,3.177,SEA,12495.4,MEDIUM,85.766,5.718,0.595,85.002,4,3,2
Fish_Wild,0.52,SEA,6412.2,LOW,1.507,0.208,0.05,1.928,12,3,1
Eggs,0.789,ROAD,1346.9,LOW,3.788,0.355,0.128,4.29,10,2,1
Wheat,2.894,ROAD,2279.2,LOW,4.052,1.013,0.792,5.542,32,2,1
Pork,0.181,AIR,14314.0,HIGH,2.193,0.698,2.464,5.8,24,0,0
Wheat,4.593,AIR,4555.4,MEDIUM,6.43,4.822,19.875,30.626,32,0,2
Shrimp,1.066,ROAD,1530.1,MEDIUM,19.182,2.078,0.196,20.972,27,2,2
Steel,2.613,RAIL,735.0,HIGH,7.316,16.46,0.048,22.778,28,1,0
Beef,1.083,ROAD,2243.3,HIGH,29.238,4.548,0.292,35.203,4,2,0
Wool,0.709,ROAD,2402.7,LOW,7.378,0.497,0.205,8.087,34,2,1
Leather,3.359,ROAD,1644.8,MEDIUM,57.097,10.076,0.663,65.285,15,2,2
Fish_Wild,0.779,ROAD,1781.0,LOW,2.26,0.312,0.167,2.669,12,2,1
Bananas,0.554,ROAD,284.6,LOW,0.388,0.139,0.019,0.552,2,2,1
Leather,24.311,AIR,5291.9,MEDIUM,413.282,72.932,122.217,601.509,15,0,2
Apples,0.629,RAIL,935.5,LOW,0.252,0.157,0.015,0.462,1,1,1
Bananas,1.841,AIR,3823.7,LOW,1.288,0.46,6.686,8.355,2,0,1
Leather,1.919,AIR,2186.0,HIGH,32.627,13.435,3.986,47.813,15,0,0
Eggs,3.089,ROAD,2574.8,LOW,14.829,1.39,0.955,16.568,10,2,1
Cotton,1.173,AIR,12620.2,MEDIUM,6.45,2.287,14.061,23.067,9,0,2
Nuts,0.086,ROAD,1347.7,HIGH,0.198,0.211,0.014,0.431,19,2,0
Wheat,3.698,SEA,10376.7,LOW,5.177,1.294,0.576,7.279,32,3,1
Aluminum,0.497,SEA,5968.6,MEDIUM,4.072,1.862,0.044,6.101,0,3,2
Pork,0.268,AIR,2271.2,HIGH,3.239,1.031,0.578,4.941,24,0,0
Aluminum,0.095,ROAD,2668.1,HIGH,0.779,0.831,0.03,1.613,0,2,0
Nuts,6.954,SEA,14735.5,MEDIUM,15.993,7.301,1.537,24.331,19,3,2
Nuts,0.628,ROAD,2901.6,LOW,1.444,0.22,0.219,1.911,19,2,1
Fish_Farmed,3.387,RAIL,4688.6,LOW,17.272,1.524,0.397,19.089,11,1,1
Wood,0.466,ROAD,2255.7,MEDIUM,0.233,0.559,0.126,0.942,33,2,2
Apples,3.707,ROAD,2468.7,LOW,1.483,0.927,1.098,2.986,1,2,1
Leather,6.117,SEA,14679.6,MEDIUM,103.985,18.35,1.347,127.389,15,3,2
Lettuce,1.388,SEA,17321.8,HIGH,1.25,2.43,0.361,4.056,17,3,0
Leather,5.729,RAIL,2455.4,HIGH,97.393,40.103,0.352,145.22,15,1,0
Wheat,8.62,ROAD,2682.5,LOW,12.067,3.017,2.775,17.532,32,2,1
Bananas,6.642,ROAD,1990.0,MEDIUM,4.649,4.982,1.586,10.633,2,2,2
Wood,0.198,ROAD,2462.0,MEDIUM,0.099,0.238,0.059,0.379,33,2,2
Fish_Farmed,2.198,ROAD,1248.5,MEDIUM,11.212,2.968,0.329,15.31,11,2,2
Eggs,0.562,ROAD,2462.7,LOW,2.699,0.253,0.166,3.305,10,2,1
Turkey,0.812,AIR,11438.1,LOW,8.85,0.406,8.822,17.551,31,0,1
Lamb,0.168,RAIL,1737.0,HIGH,4.04,0.707,0.007,4.22,14,1,0
Polyester,0.887,ROAD,2366.0,LOW,5.498,0.665,0.252,6.341,23,2,1
Fish_Wild,0.495,ROAD,1102.9,MEDIUM,1.434,0.593,0.065,1.992,12,2,2
Oats,2.327,SEA,15715.5,LOW,3.723,0.814,0.549,5.076,20,3,1
Lamb,1.738,ROAD,1904.8,HIGH,41.721,7.301,0.397,47.783,14,2,0
Fish_Farmed,12.009,ROAD,247.5,MEDIUM,61.244,16.212,0.357,75.896,11,2,2
Beans,0.278,SEA,12626.2,LOW,0.278,0.083,0.053,0.414,3,3,1
Shrimp,0.604,ROAD,1736.0,HIGH,10.869,2.747,0.126,14.751,27,2,0
Tomatoes,1.545,ROAD,1306.4,MEDIUM,3.244,1.39,0.242,4.652,30,2,2
Nuts,0.653,RAIL,222.1,MEDIUM,1.503,0.686,0.004,2.109,19,1,2
Butter,1.565,RAIL,2039.0,HIGH,18.786,4.931,0.08,24.193,5,1,0
Wool,2.875,RAIL,2359.2,HIGH,29.902,14.089,0.17,44.321,34,1,0
Nuts,0.453,SEA,14853.1,HIGH,1.043,1.111,0.101,2.208,19,3,0
Lettuce,0.763,SEA,10555.2,HIGH,0.687,1.335,0.121,2.042,17,3,0
Butter,3.29,ROAD,1011.3,MEDIUM,39.478,4.441,0.399,45.613,5,2,2
Bananas,4.231,RAIL,1565.6,LOW,2.961,1.058,0.166,3.819,2,1,1
Bananas,0.812,ROAD,1578.2,LOW,0.569,0.203,0.154,0.857,2,2,1
Beans,2.818,ROAD,2999.3,LOW,2.818,0.845,1.014,4.305,3,2,1
Potatoes,0.959,SEA,17018.3,LOW,0.48,0.24,0.245,0.925,25,3,1
Fish_Wild,1.561,SEA,13115.8,LOW,4.526,0.624,0.307,5.439,12,3,1
Corn,1.834,ROAD,1197.5,LOW,2.018,0.642,0.264,2.903,8,2,1
Wool,0.808,AIR,6177.1,MEDIUM,8.399,1.696,4.739,14.433,34,0,2
Tofu,0.582,SEA,8459.3,MEDIUM,1.163,0.698,0.074,2.048,29,3,2
Nuts,0.733,AIR,6543.3,HIGH,1.686,1.796,4.557,8.562,19,0,0
Bananas,21.189,ROAD,494.3,LOW,14.833,5.297,1.257,20.59,2,2,1
Beef,1.176,SEA,17509.9,HIGH,31.751,4.939,0.309,37.105,4,3,0
Pork,6.055,ROAD,1788.8,HIGH,73.265,23.312,1.3,98.806,24,2,0
Leather,0.603,ROAD,2106.8,HIGH,10.248,4.22,0.152,15.455,15,2,0
Wool,7.711,SEA,10660.9,LOW,80.191,5.397,1.233,87.058,34,3,1
Beans,0.09,AIR,11794.0,MEDIUM,0.09,0.081,1.006,1.218,3,0,2
Corn,1.761,SEA,5216.6,HIGH,1.937,4.314,0.138,6.76,8,3,0
Wool,3.81,RAIL,2649.5,MEDIUM,39.625,8.001,0.252,50.3,34,1,2
Fish_Farmed,6.009,AIR,14712.7,MEDIUM,30.644,8.112,83.982,122.327,11,0,2
Steel,0.427,SEA,5751.6,HIGH,1.197,2.693,0.037,3.793,28,3,0
Shrimp,1.618,SEA,14382.0,HIGH,29.124,7.362,0.349,40.046,27,3,0
Milk,50.006,SEA,18733.9,LOW,95.011,17.502,14.052,130.073,18,3,1
Aluminum,2.797,ROAD,2890.5,HIGH,22.939,24.478,0.97,46.59,0,2,0
Tomatoes,1.772,ROAD,2919.2,MEDIUM,3.721,1.595,0.621,5.903,30,2,2
Beef,0.421,SEA,9775.6,HIGH,11.369,1.768,0.062,13.046,4,3,0
Pork,0.833,RAIL,1768.4,HIGH,10.085,3.209,0.037,12.832,24,1,0
Wheat,0.33,ROAD,287.5,MEDIUM,0.462,0.347,0.011,0.807,32,2,2
Paper,3.974,RAIL,4018.7,LOW,5.167,1.987,0.399,7.793,21,1,1
Beans,0.555,ROAD,1988.0,MEDIUM,0.555,0.499,0.132,1.289,3,2,2
Potatoes,6.562,SEA,18525.1,LOW,3.281,1.641,1.823,6.844,25,3,1
Glass,1.711,ROAD,1443.6,HIGH,1.54,7.186,0.296,9.866,13,2,0
Polyester,4.416,AIR,12421.3,LOW,27.38,3.312,52.112,83.389,23,0,1
Aluminum,4.382,SEA,18134.3,HIGH,35.933,38.343,1.192,77.065,0,3,0
Chicken,3.136,ROAD,1747.3,MEDIUM,21.636,4.703,0.657,29.465,7,2,2
Milk,15.25,SEA,17539.2,HIGH,28.974,37.362,4.012,72.37,18,3,0
Milk,0.828,SEA,12998.3,HIGH,1.574,2.029,0.161,4.138,18,3,0
Wool,0.838,ROAD,2879.2,LOW,8.717,0.587,0.29,9.022,34,2,1
Steel,1.398,ROAD,416.0,HIGH,3.913,8.805,0.07,12.288,28,2,0
Eggs,0.971,SEA,10854.7,HIGH,4.66,3.058,0.158,7.552,10,3,0
Lamb,0.349,ROAD,2426.3,MEDIUM,8.385,0.629,0.102,8.652,14,2,2
Eggs,1.235,ROAD,1816.8,MEDIUM,5.927,1.667,0.269,7.753,10,2,2
Nuts,0.509,SEA,10611.0,HIGH,1.172,1.248,0.081,2.542,19,3,0
Nuts,11.237,SEA,8961.1,HIGH,25.846,27.532,1.511,56.447,19,3,0
Milk,0.457,ROAD,2141.9,HIGH,0.868,1.119,0.117,2.245,18,2,0
Wool,0.89,SEA,9576.4,LOW,9.253,0.623,0.128,10.478,34,3,1
Aluminum,5.033,SEA,12031.7,HIGH,41.274,44.042,0.908,78.85,0,3,0
Shrimp,4.601,SEA,16867.2,MEDIUM,82.825,8.973,1.164,99.161,27,3,2
Cotton,6.377,SEA,11831.1,MEDIUM,35.073,12.435,1.132,49.501,9,3,2
Bananas,0.266,AIR,4547.6,LOW,0.186,0.067,1.149,1.342,2,0,1
Tofu,5.408,ROAD,2064.8,LOW,10.817,2.163,1.34,15.412,29,2,1
Fish_Farmed,0.604,ROAD,1159.2,MEDIUM,3.078,0.815,0.084,3.907,11,2,2
Fish_Wild,0.992,RAIL,4520.5,LOW,2.877,0.397,0.112,3.47,12,1,1
Nuts,6.129,AIR,8169.9,HIGH,14.098,15.017,47.573,81.284,19,0,0
Turkey,0.631,AIR,8518.4,HIGH,6.877,2.208,5.106,14.578,31,0,0
Nuts,0.831,AIR,6287.7,MEDIUM,1.911,0.872,4.963,7.534,19,0,2
Cotton,100.0,AIR,5120.8,MEDIUM,550.0,195.0,486.477,1180.795,9,0,2
Turkey,0.124,SEA,8650.3,MEDIUM,1.357,0.187,0.016,1.582,31,3,2
Eggs,1.544,ROAD,165.9,LOW,7.413,0.695,0.031,8.129,10,2,1
Chicken,0.174,SEA,9127.8,MEDIUM,1.198,0.26,0.024,1.595,7,3,2
Lettuce,2.269,ROAD,1442.8,HIGH,2.042,3.97,0.393,6.659,17,2,0
Paper,0.159,ROAD,1311.9,MEDIUM,0.207,0.239,0.025,0.448,21,2,2
Tofu,4.586,ROAD,1341.3,MEDIUM,9.171,5.503,0.738,15.952,29,2,2
Beef,2.554,ROAD,713.7,MEDIUM,68.946,4.596,0.219,72.723,4,2,2
Fish_Farmed,4.38,ROAD,1680.0,MEDIUM,22.339,5.913,0.883,28.405,11,2,2
Pork,4.361,SEA,19823.7,HIGH,52.769,16.79,1.297,68.84,24,3,0
Eggs,1.282,ROAD,1982.4,MEDIUM,6.154,1.731,0.305,7.949,10,2,2
Lettuce,0.341,ROAD,1066.5,HIGH,0.307,0.596,0.044,0.909,17,2,0
Lamb,1.001,SEA,19438.5,MEDIUM,24.035,1.803,0.292,24.384,14,3,2
Bananas,3.345,RAIL,770.5,MEDIUM,2.341,2.508,0.064,5.1,2,1,2
Wood,4.639,RAIL,1799.0,LOW,2.32,1.856,0.209,4.417,33,1,1
Lettuce,13.011,ROAD,2365.3,MEDIUM,11.71,9.758,3.693,24.451,17,2,2
Tofu,0.43,SEA,17018.6,LOW,0.86,0.172,0.11,1.209,29,3,1
Wool,0.935,SEA,18111.5,LOW,9.726,0.655,0.254,10.0,34,3,1
Aluminum,4.689,RAIL,743.4,MEDIUM,38.451,17.584,0.087,49.438,0,1,2
Paper,6.505,AIR,5351.1,MEDIUM,8.456,9.757,33.066,49.172,21,0,2
Paper,1.603,RAIL,2248.6,MEDIUM,2.084,2.404,0.09,4.418,21,1,2
Eggs,1.66,SEA,10787.9,HIGH,7.969,5.23,0.269,13.528,10,3,0
Beef,0.055,SEA,7408.1,MEDIUM,1.492,0.099,0.006,1.643,4,3,2
Oats,0.197,SEA,9429.2,HIGH,0.315,0.482,0.028,0.829,20,3,0
Lettuce,0.281,ROAD,144.2,MEDIUM,0.253,0.211,0.005,0.449,17,2,2
Plastic,1.236,SEA,12375.6,MEDIUM,4.326,2.967,0.229,7.897,22,3,2
Cheese,1.658,RAIL,626.8,MEDIUM,22.379,2.487,0.026,25.76,6,1,2
Paper,0.731,SEA,8882.5,MEDIUM,0.951,1.097,0.097,2.168,21,3,2
Corn,1.468,RAIL,729.6,LOW,1.615,0.514,0.027,2.109,8,1,1
Wool,0.177,AIR,13583.4,HIGH,1.838,0.866,2.281,4.782,34,0,0
Pork,4.037,ROAD,2788.7,MEDIUM,48.852,6.662,1.351,59.043,24,2,2
Plastic,10.342,AIR,9901.1,LOW,36.197,8.274,97.277,151.922,22,0,1
Nuts,2.17,AIR,10272.8,HIGH,4.99,5.316,21.175,33.609,19,0,0
Wood,1.251,RAIL,1631.0,LOW,0.626,0.5,0.051,1.081,33,1,1
Milk,2.333,RAIL,3121.7,LOW,4.434,0.817,0.182,5.046,18,1,1
Milk,8.127,ROAD,520.3,HIGH,15.442,19.912,0.507,38.507,18,2,0
Shrimp,1.354,ROAD,246.2,MEDIUM,24.379,2.641,0.04,27.483,27,2,2
Tofu,3.061,ROAD,2336.9,LOW,6.122,1.224,0.858,7.529,29,2,1
Oats,1.544,RAIL,260.5,HIGH,2.47,3.782,0.01,6.503,20,1,0
Beans,2.087,SEA,7493.9,LOW,2.087,0.626,0.235,2.814,3,3,1
Cotton,4.528,AIR,14157.5,LOW,24.903,2.943,60.897,80.726,9,0,1
Steel,0.59,RAIL,3990.3,HIGH,1.653,3.718,0.059,5.454,28,1,0
Potatoes,22.877,SEA,12030.4,LOW,11.438,5.719,4.128,24.012,25,3,1
Rice,0.462,RAIL,4187.8,LOW,1.849,0.185,0.048,1.841,26,1,1
Lentils,1.286,RAIL,432.9,LOW,1.157,0.386,0.014,1.501,16,1,1
Leather,2.439,SEA,9248.8,HIGH,41.466,17.074,0.338,59.719,15,3,0
Shrimp,1.506,ROAD,1617.4,MEDIUM,27.111,2.937,0.292,31.121,27,2,2
Wheat,1.959,ROAD,2614.0,MEDIUM,2.742,2.057,0.614,5.374,32,2,2
Fish_Farmed,1.962,AIR,9083.1,LOW,10.008,0.883,16.934,26.511,11,0,1
Oats,0.664,SEA,6028.5,MEDIUM,1.062,0.697,0.06,1.794,20,3,2
Bananas,0.328,ROAD,629.5,MEDIUM,0.23,0.246,0.025,0.495,2,2,2
Turkey,4.197,ROAD,2667.5,MEDIUM,45.749,6.296,1.344,52.349,31,2,2
